id;chapilla;clase;modelo;codigo;chapa;estado;anno;ueb
1;optical lime concept;Ligero;Public-key Locks Licensed;Agent navigating Lek;e-tailers Stravenue Dynamic;MALO;13503;HOLGUIN
2;orchestrate;Pesado;parsing Metrics Gorgeous;Designer Fresh;open system capacitor;BUENO;65943;LOGISTICA
3;applications haptic;Complementario;web-readiness;protocol;cohesive;BUENO;62137;CIEGO
4;cutting-edge;Complementario;Money Market Account quantifying methodology;real-time;database Cotton deposit;MALO;569;HOLGUIN
5;back-end Grocery deposit;Ligero;Tuna;deposit global transmit;networks compressing Facilitator;MALO;54302;LOGISTICA
6;Sausages;Pesado;national Human;AI Corporate Avon;Soft hacking generating;BUENO;15721;CIEGO
7;Personal Loan Account Facilitator Concrete;Pesado;European Monetary Unit (E.M.U.-6) salmon;magenta digital uniform;systems Steel;REGULAR;68787;OC
8;superstructure;Complementario;Creative transmitting Response;Incredible Corporate Human;extranet Gorgeous Metal Table;NO_DESCRITO;20573;OC
9;neural Ergonomic Fresh Soap PCI;Pesado;Sri Lanka Rupee Incredible Granite Chair Cyprus;Handmade Cotton Gloves RAM Oregon;revolutionary connect systems;NO_DESCRITO;14754;LOGISTICA
10;optical encompassing Buckinghamshire;Complementario;USB Cotton;Plastic B2C;transmitting Florida;MALO;23207;COES
