id;codigo;estado;marca
1;Practical Fresh Mouse Automotive Mountains;MALO;Rubber Sao Tome and Principe
2;Gorgeous Plastic Chair;NO_DESCRITO;Guinea-Bissau fresh-thinking
3;Steel Multi-layered implementation;BUENO;Soft
4;killer;BUENO;Electronics digital
5;Assistant;REGULAR;deliverables
6;cultivate;NO_DESCRITO;synergies Industrial Chicken
7;calculating Ouguiya digital;NO_DESCRITO;Data Practical
8;Home Loan Account;REGULAR;Directives withdrawal Fantastic Frozen Ball
9;matrix Refined Steel Bacon Internal;NO_DESCRITO;Licensed Concrete Bacon Cordoba Oro
10;Electronics methodical Virgin Islands, British;REGULAR;Concrete Movies violet
